Lane Count,Matrix Size,Expected Cycles,Performance (FLOP/cycle), Utilization (%)
16 Lanes 16384 vlen,4x4,692,0.185,0.58
16 Lanes 16384 vlen,8x8,921,1.112,3.47
16 Lanes 16384 vlen, 16x 16,2589,3.164,9.88
16 Lanes 16384 vlen,32x32,8028,8.163,25.51
16 Lanes 16384 vlen,64x64,33847,15.490,48.40
16 Lanes 16384 vlen, 128x 128,172772,24.277,75.86
,,,,
8 Lanes 8192 vlen,4x4,690,0.186,1.16
8 Lanes 8192 vlen,8x8,923,1.109,6.93
8 Lanes 8192 vlen, 16x16,2622,3.124,19.53
8 Lanes 8192 vlen,32x32,8722,7.514,46.96
8 Lanes 8192 vlen,64x64,43273,12.116,75.72
8 Lanes 8192 vlen, 128x128,276181, 15.187,94.92
,,,,
4 Lanes 4096 vlen,4x4,702,0.182,2.28
4 Lanes 4096 vlen,8x8,940,1.089,13.62
4 Lanes 4096 vlen, 16x16,2770,2.957,36.97
4 Lanes 4096 vlen,32x32,11444,5.727,71.58
4 Lanes 4096 vlen,64x64,70126,7.476,93.45
4 Lanes 4096 vlen, 128x 128,532649,7.874,98.43
,,,,
2 Lanes 2048 vlen,4x4,549,0.233,5.83
2 Lanes 2048 vlen,8x8,858,1.193,29.84
2 Lanes 2048 vlen, 16x16,3199,2.561,64.02
2 Lanes 2048 vlen,32x32, 18374,3.567,89.17
2 Lanes 2048 vlen,64x64,139599,3.756,93.89
2 Lanes 2048 vlen, 128x128,1064261,3.94,98.53
,,,,
,,,,
,,,,
